customer_id,recency_days,frequency,monetary,R_score,F_score,M_score,rfm_score_str,rfm_total,segment,segment_description
C100019,58.0,16,181652.29,3,4,3,343,10,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100021,509.0,2,55692.0,1,1,2,112,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100022,1116.0,0,0.0,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100023,23.0,0,0.0,4,1,1,411,6,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100024,0.0,55,1111277.23,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100025,22.0,66,1483180.02,4,5,5,455,14,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100026,47.0,7,23305.35,3,2,1,321,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100027,9.0,15,159037.41,4,4,3,443,11,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100028,368.0,9,140622.6,1,3,3,133,7,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100029,0.0,8,104504.44,5,3,2,532,10,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100030,45.0,24,235912.88,3,4,4,344,11,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100031,3.0,58,895047.2,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100032,6.0,0,0.0,5,1,1,511,7,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100033,23.0,0,0.0,4,1,1,411,6,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100034,13.0,100,1637883.35,4,5,5,455,14,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100035,112.0,2,8777.75,2,1,1,211,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100036,0.0,46,584201.71,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100037,10.0,61,1081819.13,4,5,5,455,14,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100038,336.0,15,294601.73,1,4,4,144,9,Can't Lose Them,Made big purchases historically but haven't returned in a long time. High-touch retention outreach.
C100039,4.0,47,712928.4400000001,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100040,89.0,3,41479.24,2,1,2,212,5,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100042,4.0,142,2282063.85,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100043,19.0,13,252899.68,4,3,4,434,11,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100044,138.0,0,0.0,2,1,1,211,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100045,3.0,0,0.0,5,1,1,511,7,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100046,24.0,41,926137.76,4,5,5,455,14,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100047,37.0,30,631512.06,3,5,5,355,13,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100048,16.0,68,1323557.54,4,5,5,455,14,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100049,31.0,2,86036.17,3,1,2,312,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100050,42.0,3,249088.21,3,1,4,314,8,Needs Attention,Above-average scores but not standout on any dimension. Targeted engagement.
C100051,1.0,40,625525.62,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100052,31.0,51,1396173.23,3,5,5,355,13,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100053,742.0,7,188050.28,1,2,3,123,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100054,87.0,19,202654.49,2,4,3,243,9,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100055,40.0,14,266020.65,3,4,4,344,11,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100056,681.0,6,105731.75,1,2,3,123,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100057,9.0,4,10514.82,4,2,1,421,7,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100058,414.0,2,73416.26,1,1,2,112,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100059,2.0,61,1023201.78,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100060,236.0,13,180343.64,1,3,3,133,7,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100061,46.0,16,398182.81,3,4,4,344,11,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100062,113.0,7,97081.03,2,2,2,222,6,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100063,6.0,6,86885.4,5,2,2,522,9,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100064,563.0,2,41646.33,1,1,2,112,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100065,5.0,9,75351.06,5,3,2,532,10,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100067,147.0,3,7781.379999999999,2,1,1,211,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100068,13.0,67,1270775.62,4,5,5,455,14,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100069,28.0,21,629393.76,3,4,5,345,12,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100070,538.0,10,134695.83000000002,1,3,3,133,7,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100071,29.0,5,142689.25,3,2,3,323,8,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100072,180.0,4,96862.44,2,2,2,222,6,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100073,8.0,3,23761.72,5,1,1,511,7,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100074,74.0,5,74567.01999999999,2,2,2,222,6,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100075,25.0,8,121413.83,4,3,3,433,10,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100076,5.0,29,590222.92,5,4,5,545,14,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100077,31.0,35,702086.89,3,5,5,355,13,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100078,192.0,7,54106.58,2,2,2,222,6,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100080,8.0,139,1947309.74,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100081,50.0,1,6741.18,3,1,1,311,5,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100082,96.0,3,105609.24,2,1,3,213,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100083,267.0,7,78768.82,1,3,2,132,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100084,71.0,4,14198.9,3,2,1,321,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100085,12.0,8,129856.66,4,3,3,433,10,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100086,135.0,3,82499.78,2,1,2,212,5,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100087,531.0,17,386309.67,1,4,4,144,9,Can't Lose Them,Made big purchases historically but haven't returned in a long time. High-touch retention outreach.
C100088,10.0,6,126204.35,4,2,3,423,9,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100090,730.0,12,143514.74,1,3,3,133,7,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100091,370.0,0,0.0,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100092,28.0,34,346139.79,3,5,4,354,12,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100093,121.0,2,32331.870000000003,2,1,2,212,5,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100094,126.0,13,123572.19,2,3,3,233,8,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100095,126.0,15,195134.39,2,4,3,243,9,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100096,98.0,5,242477.04,2,2,4,224,8,Needs Attention,Above-average scores but not standout on any dimension. Targeted engagement.
C100097,32.0,3,98444.66,3,1,2,312,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100098,57.0,4,44529.94,3,2,2,322,7,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100099,715.0,2,13121.23,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100100,110.0,37,1314221.64,2,5,5,255,12,Can't Lose Them,Made big purchases historically but haven't returned in a long time. High-touch retention outreach.
C100101,1.0,49,889194.76,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100102,21.0,69,1615617.83,4,5,5,455,14,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100103,745.0,5,10028.93,1,2,1,121,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100104,1.0,19,478534.91,5,4,4,544,13,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100105,5.0,25,409586.29,5,4,4,544,13,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100106,59.0,3,50528.64,3,1,2,312,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100107,754.0,1,7450.01,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100108,39.0,40,391864.99,3,5,4,354,12,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100109,55.0,0,0.0,3,1,1,311,5,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100110,127.0,16,104816.3,2,4,3,243,9,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100111,0.0,11,266715.62,5,3,4,534,12,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100112,3.0,2,26984.800000000003,5,1,1,511,7,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100113,704.0,9,101047.81,1,3,2,132,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100114,679.0,1,2336.06,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100115,204.0,11,255153.02,2,3,4,234,9,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100116,3.0,127,2244519.93,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100117,614.0,6,74117.14,1,2,2,122,5,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100118,61.0,5,41080.93,3,2,2,322,7,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100119,38.0,3,40490.02,3,1,2,312,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100121,34.0,2,28447.43,3,1,1,311,5,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100123,506.0,6,55078.74,1,2,2,122,5,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100124,1.0,54,1153224.72,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100125,121.0,2,280332.72,2,1,4,214,7,Needs Attention,Above-average scores but not standout on any dimension. Targeted engagement.
C100126,407.0,11,223050.15,1,3,3,133,7,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100127,1.0,146,2586976.7800000003,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100128,366.0,0,0.0,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100129,196.0,0,0.0,2,1,1,211,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100131,33.0,0,0.0,3,1,1,311,5,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100132,421.0,5,19457.51,1,2,1,121,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100133,56.0,3,57074.1,3,1,2,312,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100134,6.0,5,82137.5,5,2,2,522,9,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100135,7.0,9,274082.58,5,3,4,534,12,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100136,132.0,1,10489.05,2,1,1,211,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100137,3.0,6,108462.36,5,2,3,523,10,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100138,7.0,7,83268.8,5,3,2,532,10,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100139,656.0,18,417093.98,1,4,4,144,9,Can't Lose Them,Made big purchases historically but haven't returned in a long time. High-touch retention outreach.
C100140,14.0,8,109502.62,4,3,3,433,10,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100141,106.0,7,91325.65,2,3,2,232,7,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100142,14.0,109,1833264.17,4,5,5,455,14,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100143,151.0,17,261000.91,2,4,4,244,10,Can't Lose Them,Made big purchases historically but haven't returned in a long time. High-touch retention outreach.
C100144,242.0,2,62364.43,1,1,2,112,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100145,46.0,9,169963.64,3,3,3,333,9,Needs Attention,Above-average scores but not standout on any dimension. Targeted engagement.
C100146,5.0,10,176032.58,5,3,3,533,11,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100147,40.0,3,49523.66,3,1,2,312,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100148,10.0,14,328291.17,4,4,4,444,12,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100149,8.0,46,1118539.52,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100150,180.0,23,410062.46,2,4,4,244,10,Can't Lose Them,Made big purchases historically but haven't returned in a long time. High-touch retention outreach.
C100151,63.0,5,92406.69,3,2,2,322,7,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100152,35.0,19,371157.99,3,4,4,344,11,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100153,901.0,5,36872.79,1,2,2,122,5,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100154,77.0,2,7144.539999999999,2,1,1,211,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100155,18.0,11,202692.51,4,3,3,433,10,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100156,615.0,4,56162.3,1,2,2,122,5,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100157,354.0,20,266137.31,1,4,4,144,9,Can't Lose Them,Made big purchases historically but haven't returned in a long time. High-touch retention outreach.
C100158,381.0,6,167583.6,1,2,3,123,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100159,110.0,12,227585.32,2,3,4,234,9,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100160,2.0,37,572504.35,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100161,8.0,1,8051.16,5,1,1,511,7,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100162,3.0,70,1072145.6,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100164,263.0,0,0.0,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100165,45.0,22,717214.55,3,4,5,345,12,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100166,232.0,7,333328.07,1,3,4,134,8,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100167,436.0,10,140071.52,1,3,3,133,7,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100168,204.0,20,264080.52,2,4,4,244,10,Can't Lose Them,Made big purchases historically but haven't returned in a long time. High-touch retention outreach.
C100169,88.0,12,227998.22,2,3,4,234,9,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100170,12.0,120,2016087.98,4,5,5,455,14,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100171,569.0,8,111693.0,1,3,3,133,7,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100172,53.0,11,155706.9,3,3,3,333,9,Needs Attention,Above-average scores but not standout on any dimension. Targeted engagement.
C100173,20.0,4,11212.64,4,2,1,421,7,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100174,117.0,2,41694.47,2,1,2,212,5,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100175,69.0,2,5121.82,3,1,1,311,5,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100176,138.0,2,12989.03,2,1,1,211,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100177,5.0,69,1093454.76,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100178,168.0,15,393184.63,2,4,4,244,10,Can't Lose Them,Made big purchases historically but haven't returned in a long time. High-touch retention outreach.
C100179,76.0,16,450143.02,2,4,4,244,10,Can't Lose Them,Made big purchases historically but haven't returned in a long time. High-touch retention outreach.
C100180,199.0,2,117118.09,2,1,3,213,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100181,677.0,4,27139.55,1,2,1,121,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100182,150.0,14,132053.95,2,4,3,243,9,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100184,194.0,6,105251.19,2,2,3,223,7,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100185,261.0,4,35880.29,1,2,2,122,5,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100186,9.0,4,161359.71,4,2,3,423,9,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100187,1.0,7,61295.39,5,3,2,532,10,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100188,3.0,84,1385195.16,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100189,408.0,0,0.0,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100190,104.0,0,0.0,2,1,1,211,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100191,15.0,10,211166.73,4,3,3,433,10,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100192,1.0,49,885996.65,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100193,2.0,50,846333.8,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100194,14.0,74,1495724.71,4,5,5,455,14,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100195,10.0,0,0.0,4,1,1,411,6,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100196,1.0,19,298062.44,5,4,4,544,13,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100197,710.0,1,896.43,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100198,44.0,13,232800.69,3,3,4,334,10,Needs Attention,Above-average scores but not standout on any dimension. Targeted engagement.
C100199,3.0,6,146016.5,5,2,3,523,10,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100200,3.0,30,577188.21,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100201,3.0,13,238870.12,5,3,4,534,12,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100202,7.0,29,880335.35,5,4,5,545,14,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100203,4.0,27,448388.64,5,4,4,544,13,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100204,270.0,12,415557.37,1,3,4,134,8,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100205,3.0,1,18488.34,5,1,1,511,7,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100206,438.0,8,56184.64,1,3,2,132,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100207,66.0,10,84538.54,3,3,2,332,8,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100208,4.0,38,609388.56,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100209,573.0,0,0.0,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100210,323.0,1,39521.99,1,1,2,112,4,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100211,174.0,7,47005.380000000005,2,3,2,232,7,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100212,33.0,5,112903.98,3,2,3,323,8,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100213,67.0,4,33793.3,3,2,2,322,7,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100214,567.0,9,276248.22,1,3,4,134,8,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100215,145.0,6,111787.18,2,2,3,223,7,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100217,48.0,20,562390.04,3,4,5,345,12,Loyal Customers,"Buy regularly and spend well. Upsell higher-value products, ask for reviews/referrals."
C100218,8.0,0,0.0,5,1,1,511,7,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100219,406.0,12,169447.06,1,3,3,133,7,At Risk,Used to purchase frequently/high value but haven't returned recently. Win-back campaigns needed urgently.
C100220,398.0,19,251419.53,1,4,4,144,9,Can't Lose Them,Made big purchases historically but haven't returned in a long time. High-touch retention outreach.
C100221,56.0,5,115704.8,3,2,3,323,8,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100222,7.0,33,494070.96,5,5,4,554,14,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100223,8.0,76,1234420.09,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100224,25.0,6,70521.26,4,2,2,422,8,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100225,14.0,21,251740.11,4,4,4,444,12,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100226,711.0,0,0.0,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100227,362.0,6,115218.48,1,2,3,123,6,Hibernating,"Low recency, frequency, and monetary. Low-cost reactivation or let go."
C100229,100.0,4,37876.38,2,2,2,222,6,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100230,3.0,125,2338200.95,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100231,26.0,8,144409.51,3,3,3,333,9,Needs Attention,Above-average scores but not standout on any dimension. Targeted engagement.
C100232,3.0,5,129948.15,5,2,3,523,10,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100233,3.0,110,1541793.18,5,5,5,555,15,Champions,"Bought recently, buy often, spend the most. Reward them -- they can become brand advocates."
C100234,6.0,0,0.0,5,1,1,511,7,New Customers,"Bought recently but not often yet. Onboard well, build early habit."
C100235,251.0,1,2616.01,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
C100236,13.0,8,122189.89,4,3,3,433,10,Potential Loyalists,Recent customers with decent frequency/spend. Nurture with loyalty programs.
C100237,394.0,1,3582.52,1,1,1,111,3,Lost Customers,Lowest RFM scores across the board. Minimal investment; occasional win-back only.
