customer_id,recommended_action,action_reason,clv_category,risk_category,expected_clv_12m
C100058,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,5505.37
C100059,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,427645.21
C100060,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,4855.56
C100061,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,15295.13
C100062,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,77583.35
C100063,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,177399.59
C100064,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,388.53
C100065,CROSS_SELL,Purchases across 10 categories with moderate engagement -- a cross-sell nudge into an adjacent category is likely to land.,Medium,Medium,36882.74
C100067,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,7206.5
C100068,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,582784.03
C100069,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,191236.97
C100070,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,668.4
C100071,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,10551.78
C100072,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,7126.92
C100073,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,197088.18
C100074,PREMIUM_SUPPORT,Elevated complaint history / low satisfaction score (1.0/5) -- prioritize a service-recovery touchpoint before any commercial offer.,Medium,Medium,36378.09
C100075,PREMIUM_SUPPORT,Elevated complaint history / low satisfaction score (2.0/5) -- prioritize a service-recovery touchpoint before any commercial offer.,High,Medium,66863.17
C100076,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,314255.46
C100077,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,328295.15
C100078,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,6076.8
C100080,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,619527.72
C100081,NO_ACTION,No urgent signal in either direction -- monitor at next review cycle.,Medium,Low,44620.11
C100082,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,18576.11
C100083,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,3426.7
C100084,NO_ACTION,No urgent signal in either direction -- monitor at next review cycle.,Medium,Medium,40731.44
C100085,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,286901.19
C100086,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,5389.03
C100087,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,2723.43
C100088,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,54973.62
C100090,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,712.85
C100091,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,1109.05
C100092,CROSS_SELL,Purchases across 11 categories with moderate engagement -- a cross-sell nudge into an adjacent category is likely to land.,High,Medium,49945.53
C100093,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,18850.04
C100094,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,93836.68
C100095,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,37048.77
C100096,NO_ACTION,No urgent signal in either direction -- monitor at next review cycle.,Medium,Medium,34947.83
C100097,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,111252.43
C100098,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,172009.98
C100099,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,326.68
C100100,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,39312.59
C100101,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,520469.38
C100102,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,844138.14
C100103,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,1230.55
C100104,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,581120.02
C100105,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,659222.19
C100106,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,81193.48
C100107,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,2938.89
C100108,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,263780.27
C100109,NO_ACTION,No urgent signal in either direction -- monitor at next review cycle.,Medium,Medium,34906.91
C100110,CROSS_SELL,Purchases across 10 categories with moderate engagement -- a cross-sell nudge into an adjacent category is likely to land.,Medium,Medium,42752.95
C100111,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,67119.19
C100112,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,311623.84
C100113,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,842.14
C100114,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,367.83
C100115,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,5473.57
C100116,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,738976.71
C100117,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,361.76
C100118,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,64698.97
C100119,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,12774.28
C100121,PREMIUM_SUPPORT,Elevated complaint history / low satisfaction score (1.0/5) -- prioritize a service-recovery touchpoint before any commercial offer.,Medium,Medium,23550.49
C100123,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,517.37
C100124,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,403175.87
C100125,RETENTION,"High CLV (High) customer with high churn risk (76% probability) -- protecting this customer's future value justifies an urgent, personalized retention offer.",High,High,52433.95
C100126,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,1159.46
C100127,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,575778.56
C100128,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,2614.96
C100129,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,20776.17
C100131,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,87947.23
C100132,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,982.89
C100133,NO_ACTION,No urgent signal in either direction -- monitor at next review cycle.,Medium,Medium,22317.32
C100134,CROSS_SELL,Purchases across 6 categories with moderate engagement -- a cross-sell nudge into an adjacent category is likely to land.,High,Medium,54422.32
C100135,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,127694.79
C100136,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,18161.31
C100137,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,147280.4
C100138,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,11060.35
C100139,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,728.65
C100140,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,64289.02
C100141,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,10951.6
C100142,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,833859.4
C100143,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,6459.63
C100144,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,4766.54
C100145,CROSS_SELL,Purchases across 9 categories with moderate engagement -- a cross-sell nudge into an adjacent category is likely to land.,Medium,Medium,29101.47
C100146,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,117756.04
C100147,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,34533.53
C100148,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,181465.05
C100149,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,631199.93
C100150,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,16982.69
C100151,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,150178.32
C100152,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,167042.38
C100153,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,332.13
C100154,PREMIUM_SUPPORT,Elevated complaint history / low satisfaction score (2.0/5) -- prioritize a service-recovery touchpoint before any commercial offer.,Medium,Medium,33260.08
C100155,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,189870.19
C100156,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,345.15
C100157,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,2591.89
C100158,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,689.33
C100159,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,22541.18
C100160,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,437075.38
C100161,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,18200.73
C100162,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,609039.23
C100164,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,5144.66
C100165,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,369139.97
C100166,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,8375.8
C100167,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,816.71
C100168,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,5130.33
C100169,NO_ACTION,No urgent signal in either direction -- monitor at next review cycle.,High,Medium,65219.46
C100170,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,830820.69
C100171,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,956.17
C100172,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,20204.9
C100173,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,131527.19
C100174,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,6865.0
C100175,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,16141.08
C100176,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,5691.4
C100177,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,360038.76
C100178,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,8736.24
C100179,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,16401.7
C100180,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,9437.67
C100181,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,365.53
C100182,NO_ACTION,No urgent signal in either direction -- monitor at next review cycle.,Medium,Medium,13574.48
C100184,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,7030.45
C100185,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,3551.67
C100186,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Medium,High,12560.39
C100187,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,215213.44
C100188,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,806839.78
C100189,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,1148.74
C100190,NO_ACTION,No urgent signal in either direction -- monitor at next review cycle.,Medium,Medium,25543.13
C100191,PREMIUM_SUPPORT,Elevated complaint history / low satisfaction score (2.0/5) -- prioritize a service-recovery touchpoint before any commercial offer.,Medium,Medium,45058.91
C100192,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,1043948.07
C100193,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,470211.86
C100194,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,756137.73
C100195,NO_ACTION,No urgent signal in either direction -- monitor at next review cycle.,High,Medium,62975.35
C100196,CROSS_SELL,Purchases across 12 categories with moderate engagement -- a cross-sell nudge into an adjacent category is likely to land.,Medium,Medium,34807.71
C100197,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,863.68
C100198,CROSS_SELL,Purchases across 11 categories with moderate engagement -- a cross-sell nudge into an adjacent category is likely to land.,Medium,Medium,43817.12
C100199,CROSS_SELL,Purchases across 7 categories with moderate engagement -- a cross-sell nudge into an adjacent category is likely to land.,Medium,Medium,35587.69
C100200,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,339063.28
C100201,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,266099.11
C100202,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,142009.26
C100203,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,389877.27
C100204,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,5595.42
C100205,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",High,Low,162565.03
C100206,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,3024.11
C100207,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,7314.32
C100208,LOYALTY_REWARD,"High CLV, low churn risk -- reward loyalty to reinforce the relationship and unlock referral / advocacy potential.",Very High,Low,467206.42
C100209,REACTIVATION,Low CLV and high churn risk -- a low-cost automated reactivation campaign is more cost-effective than a high-touch retention effort for this segment.,Low,High,1765.25
